"Date","Price","Open","High","Low","Vol.","Change %"
"2023-09-29","115.40","115.51","115.89","114.52","459.03K","0.10%"
"2023-09-28","115.28","113.29","115.40","112.41","333.31K","1.84%"
"2023-09-27","113.20","113.75","114.44","111.96","454.11K","-0.61%"
"2023-09-26","113.90","111.82","114.61","111.47","524.37K","1.59%"
"2023-09-25","112.12","112.88","113.60","111.92","243.98K","-0.82%"
"2023-09-22","113.05","113.29","113.91","112.95","264.12K","-0.06%"
"2023-09-21","113.12","113.48","113.82","112.74","430.18K","-0.49%"
"2023-09-20","113.68","113.63","114.36","113.32","299.42K","0.13%"
"2023-09-19","113.53","114.83","115.65","113.46","402.27K","-1.77%"
"2023-09-18","115.57","115.34","116.48","114.61","462.49K","0.17%"
"2023-09-15","115.37","116.71","117.32","114.83","1.66M","-1.96%"
"2023-09-14","117.68","117.72","117.99","116.68","562.70K","0.08%"
"2023-09-13","117.59","118.15","118.15","117.13","709.36K","-0.41%"
"2023-09-12","118.08","118.50","118.96","118.02","188.63K","-0.42%"
"2023-09-11","118.58","118.66","119.10","117.85","150.55K","0.38%"
"2023-09-08","118.13","117.00","118.53","116.68","193.20K","0.80%"
"2023-09-07","117.19","119.49","119.53","116.99","344.39K","-1.59%"
"2023-09-06","119.08","119.11","119.85","118.97","333.80K","-0.05%"
"2023-09-05","119.14","118.41","119.55","118.08","227.34K","0.48%"
"2023-09-01","118.57","117.87","119.11","116.90","380.84K","1.06%"
"2023-08-31","117.33","119.46","119.60","117.28","812.01K","-1.76%"
"2023-08-30","119.43","119.50","120.65","118.83","351.46K","0.01%"
"2023-08-29","119.42","116.51","119.48","116.16","537.35K","2.02%"
"2023-08-28","117.05","116.86","117.21","116.13","266.27K","0.43%"
"2023-08-25","116.55","115.66","116.93","114.83","345.99K","0.88%"
"2023-08-24","115.53","115.07","115.82","114.47","267.32K","0.17%"
"2023-08-23","115.33","114.99","115.56","114.36","253.57K","0.47%"
"2023-08-22","114.79","115.50","115.64","113.70","464.53K","-0.61%"
"2023-08-21","115.50","115.76","116.22","115.13","332.15K","-0.19%"
"2023-08-18","115.72","116.76","116.77","115.54","517.45K","-0.64%"
"2023-08-17","116.47","116.84","117.00","116.11","221.26K","-0.18%"
"2023-08-16","116.68","116.38","117.76","115.98","229.12K","0.66%"
"2023-08-15","115.92","117.50","117.70","115.70","303.89K","-1.64%"
"2023-08-14","117.85","118.00","119.00","117.53","385.63K","-0.14%"
"2023-08-11","118.01","118.76","118.76","117.18","280.29K","-0.78%"
"2023-08-10","118.94","117.59","118.94","117.37","473.93K","1.35%"
"2023-08-09","117.36","116.55","117.67","116.46","253.23K","0.62%"
"2023-08-08","116.64","115.91","116.81","115.46","353.72K","0.64%"
"2023-08-04","115.90","115.37","116.42","115.24","345.83K","0.39%"
"2023-08-03","115.45","115.69","116.64","115.03","486.48K","-1.10%"
"2023-08-02","116.73","116.00","116.87","115.90","380.12K","0.51%"
"2023-08-01","116.14","117.08","117.17","115.18","278.22K","-0.74%"
"2023-07-31","117.00","116.73","117.16","116.02","441.70K","0.21%"
"2023-07-28","116.75","116.76","118.16","116.73","276.93K","0.05%"
"2023-07-27","116.69","117.27","118.20","116.36","392.04K","-0.11%"
"2023-07-26","116.82","119.39","119.39","116.60","397.48K","-2.23%"
"2023-07-25","119.48","119.24","120.01","118.15","405.10K","-0.93%"
"2023-07-24","120.60","120.24","120.84","120.07","112.58K","0.20%"
"2023-07-21","120.36","119.73","120.48","119.32","197.16K","0.85%"
"2023-07-20","119.34","118.50","119.63","118.39","153.75K","0.58%"
"2023-07-19","118.65","119.00","119.17","118.20","175.99K","-0.29%"
"2023-07-18","119.00","120.29","120.48","118.50","487.95K","-1.06%"
"2023-07-17","120.28","119.37","120.81","118.85","351.63K","0.48%"
"2023-07-14","119.70","117.57","119.86","117.25","306.96K","2.15%"
"2023-07-13","117.18","116.47","117.62","116.00","232.52K","0.64%"
"2023-07-12","116.44","117.31","117.74","116.16","437.05K","-0.48%"
"2023-07-11","117.00","118.76","119.04","116.54","393.42K","-1.49%"
"2023-07-10","118.77","118.70","119.40","118.15","341.64K","0.09%"
"2023-07-07","118.66","119.30","120.26","118.40","324.64K","-1.01%"
"2023-07-06","119.87","119.87","120.66","119.08","309.32K","-0.51%"
"2023-07-05","120.49","120.49","121.59","119.72","271.76K","-0.03%"
"2023-07-04","120.53","121.27","121.27","120.13","157.52K","-0.62%"
